No,レベル,項目名,宣言,桁数
1,1,SYS-5013-REC,GF,0
2,3,SYS-5013-KEY,GF,0
3,5,SYS-5013-HOSPNUM,9(2),2
4,5,SYS-5013-KANRICD,X(04),4
5,5,SYS-5013-KBNCD,X(08),8
6,5,SYS-5013-STYUKYMD,X(08),8
7,5,SYS-5013-EDYUKYMD,X(08),8
8,3,SYS-5013-TBL,GF,0
9,5,SYS-5013-NAME,X(40),40
10,5,SYS-5013-TANNAME,X(10),10
11,5,SYS-5013-YOBI,X(450),450
12,3,SYS-5013-TERMID,X(16),16
13,3,SYS-5013-OPID,X(16),16
14,3,SYS-5013-CREYMD,X(08),8
15,3,SYS-5013-UPYMD,X(08),8
16,3,SYS-5013-UPHMS,X(06),6
17,3,SYS-5013-UPD-KEY,GF,0
18,5,SYS-5013-UPD-HOSPNUM,9(2),2
19,5,SYS-5013-UPD-KANRICD,X(04),4
20,5,SYS-5013-UPD-KBNCD,X(08),8
21,5,SYS-5013-UPD-STYUKYMD,X(08),8
22,5,SYS-5013-UPD-EDYUKYMD,X(08),8
